Year,Team,Wins,Losses,Ties,Points For,Points Against,Sos,Offense Spending,Defensive Line Spending,Secondary Spending,Offensive Line Spending,Cornerback Spending,Defensive Tackle Spending,Defensive End Spending,Linebacker Spending,Guard Spending,Quarterback Spending,Wide Receiver Spending,Tight End Spending,Inside Linebacker Spending,Tackle Spending,Safety Spending,Outside Linebacker Spending,Left Tackle Spending,Free Safety Spending,Special Teams Spending,Running Back Spending,Punter Spending,Strong Safety Spending,Kicker Spending,Center Spending,Right Tackle Spending,Long Snapper Spending,Fullback Spending,Defense Spending
2015,New York Giants,6,10,0,420,442,-2.2,47.44,13.34,16.05,17.26,13.4,2.01,11.33,8.49,6.34,11.81,11.54,1.47,4.18,9.82,2.65,4.32,8.31,1.62,2.51,5.04,0.4,1.03,1.05,1.11,1.51,1.06,0.33,37.89
2015,New York Jets,10,6,0,387,314,-3,45.68,11.25,26.34,21.65,21.57,4.54,6.72,9.21,2.88,3.39,13.41,2.67,6.82,11.78,4.77,2.34,8.14,2.43,2.12,4.16,0.38,2.34,1.16,7,3.63,0.57,0.39,46.76
2015,Oakland Raiders,7,9,0,359,399,2.3,42.43,14.85,13.77,22.64,3.67,6.35,8.49,12.12,0.89,1.32,8.92,3.5,8.26,11.69,10.1,3.87,5.22,5.16,4.66,2.82,1.12,4.49,2.63,10.06,6.48,0.9,3.23,40.74
2015,Philadelphia Eagles,7,9,0,377,430,-1.3,45.56,5.85,16.64,16.16,9.23,3.06,2.79,16.02,1.4,11.48,6.4,4.17,5.23,11.31,7.4,10.78,6.02,7.28,2.66,7.72,1.39,,0.56,3.46,4.91,0.71,,38.5
2015,Pittsburgh Steelers,10,6,0,423,319,2.2,44,10.63,13.36,13.69,9.44,2.4,8.23,14.8,3.7,14.65,7.58,4.33,9.92,5.58,3.92,4.88,2.47,2.91,2.52,2.33,0.31,1.01,1.73,4.41,3.11,0.48,1.42,38.8
2015,San Diego Chargers,4,12,0,320,398,2.2,48.1,9.32,15.48,13.39,6.78,7.6,1.72,10.75,6.95,16.33,5.95,7.56,6.89,5.23,8.7,3.86,3.42,8.28,4.02,5.13,3.09,0.42,0.31,1.22,1.56,0.63,,35.55
2015,San Francisco 49ers,5,11,0,238,387,3.8,43.51,6.72,10.89,14.42,3.57,1.41,5.31,13.63,4.71,12.57,9.96,1.98,7.34,8.34,7.32,6.29,5.56,3.54,3.97,3.13,0.35,3.78,3.02,1.37,2.78,0.59,1.46,31.24
2015,Seattle Seahawks,10,6,0,423,277,2.2,34.78,19.14,19.64,8.59,10.3,6.72,12.42,9.04,2.12,5.81,6.51,6.4,2.76,5.29,9.34,6.28,4.94,5.47,3.85,6.62,1.02,3.87,2.26,1.19,0.35,0.57,0.85,47.82
2015,St. Louis Rams,7,9,0,280,330,3,38.92,21.59,7.15,13.23,3.87,7.75,13.83,21.11,2.13,3.71,7.92,9.88,3.45,10.1,3.28,17.65,5.99,2.27,2.81,3.36,1.69,1,0.51,0.99,3.84,0.6,1.1,49.84
2015,Tampa Bay Buccaneers,6,10,0,342,417,-3,39.57,21.24,9.23,14.49,6.17,17.89,3.35,9.88,6.17,4.47,13.56,3.25,4.13,4.57,3.05,5.75,0.83,2.08,1.13,3.37,0.33,0.02,0.43,3.74,3.74,0.38,0.44,40.35
2015,Tennessee Titans,3,13,0,299,423,-2.8,31.14,16.5,22.41,8.28,12.27,7.53,8.96,12.38,3.25,3.88,6.12,8.35,4.64,4.25,10.14,7.74,2.03,6.77,3.69,4.06,1.55,3.36,1.49,0.78,2.22,0.64,0.44,51.28
2015,Washington Redskins,9,7,0,388,379,-2.5,50.04,14.61,12.08,19.17,7.55,3.71,10.9,11.95,6.5,6.34,17.59,3.88,4.43,8.98,4.53,7.53,7.99,3.19,1.5,2.45,0.36,1.33,0.34,3.69,0.52,0.79,1.09,38.64
2016,Arizona Cardinals,7,8,1,418,362,-1.9,45.23,15.15,17.56,12.31,10.33,3.14,12.01,12.36,5.81,13.45,13.59,3.77,5.15,5.59,7.23,7.21,4.75,2.8,0.79,2.15,0.05,4.39,0.39,0.91,0.79,0.36,,45.07
2016,Atlanta Falcons,11,5,0,540,406,0.1,49.26,12.96,7.57,13.57,3.68,3.28,9.68,8.49,5.89,16.58,14.22,3.56,3.63,5.04,3.89,4.86,2.91,0.41,4.38,1.15,1.76,1.44,2.07,2.63,1.72,0.56,0.58,29.02
2016,Baltimore Ravens,8,8,0,343,321,0.2,41.31,5.08,21.26,11.91,14.81,3.11,1.98,14.04,4.18,15.93,8.97,5.51,3.01,4.68,6.45,11.03,0.4,4.82,4.99,1.65,2.05,1.42,2.32,3.05,1.13,0.62,0.5,40.38
2016,Buffalo Bills,7,9,0,399,378,-1.6,40.43,16.08,19.33,12.65,9.9,14.46,1.62,9.03,3.07,6.76,8.52,5.21,2.43,6.22,9.44,6.6,4.07,4.02,2.79,6.75,0.39,5.14,1.7,3.35,2.15,0.69,0.55,44.44
2016,Carolina Panthers,6,10,0,369,402,-1,54.06,11.47,6.65,18,2.52,7.14,4.34,12.51,1.59,16.04,5.44,5.72,5.68,6.87,4.13,6.83,4.31,2.9,5.67,8.03,2.04,0.9,2.9,9.55,2.31,0.74,1.06,30.63
2016,Chicago Bears,3,13,0,279,399,0,50.15,7.34,8.95,16.64,7.03,2.13,5.21,23.75,10.85,13.58,15.69,2.83,7.92,5.28,1.92,15.68,1.27,0.39,1.18,1.41,0.42,0.81,0.4,0.52,4,0.35,,39.9
2016,Cincinnati Bengals,6,9,1,325,315,0.4,45.59,19.68,19.83,17.17,13.25,10.43,9.25,9.74,8.54,9.08,11.37,2.5,7.18,7.79,6.58,2.56,7.09,2.68,2.62,4.85,1.93,3.6,0.09,0.84,0.7,0.61,0.63,49.25
2016,Cleveland Browns,1,15,0,264,452,1.7,33.79,8.26,20.03,16.21,18.25,3.06,5.2,6.64,6.42,8.69,5.47,2.78,4.32,9.25,1.78,2.32,7.37,0.79,2.11,2.26,1.32,0.51,0.38,0.55,,0.41,0.25,34.93
2016,Dallas Cowboys,13,3,0,421,306,-0.2,54.47,8.15,19.15,13.73,13.65,4.37,3.78,11.78,4.16,15.81,12.91,6.21,2.53,8.14,5.49,9.25,4.45,2.07,3.88,5.88,0.95,3.11,2.16,1.43,3.23,0.77,0.39,39.08
2016,Denver Broncos,9,7,0,333,297,1.8,35.93,9.94,22.94,9.54,15.55,2.14,7.8,19.72,1.07,1.54,16.71,2.66,3.92,7.35,7.39,15.8,6.84,3.16,1.18,5.18,0.32,3.91,0.41,1.12,0.5,0.45,0.31,52.6
2016,Detroit Lions,9,7,0,346,358,-0.6,44.49,10.94,13.55,11.71,5.74,6.49,4.45,9.6,3.28,15.59,11.72,3.81,1.31,7.49,7.8,8.29,5.75,6.61,3.63,2.61,0.81,0.8,2.12,0.94,0.41,0.69,0.38,34.09
2016,Green Bay Packers,10,6,0,432,388,0.1,44.87,8.84,17.59,13.95,9.38,1.11,7.74,22.48,4.96,12.93,12.93,2.27,0.77,8.07,8.21,21.71,3.16,1.48,2.29,3.21,0.34,6.15,1.56,0.93,4,0.39,0.5,48.91
2016,Houston Texans,9,7,0,279,328,0.4,40.96,15.73,16.7,20.48,13.08,5.09,10.64,18.38,5.7,9.46,4.14,1.32,9.19,12.23,3.61,9.18,6.82,1.61,2.5,5.16,1.18,1.72,0.74,2.56,5.41,0.57,0.41,50.8
2016,Indianapolis Colts,8,8,0,411,392,-0.8,46.33,6.72,14.37,13.83,11.03,3.48,3.24,15.76,4,13.05,9.55,7.23,4.11,7.89,3.34,11.65,6.49,0.51,4.43,3.71,1.77,1.45,2.13,1.95,0.35,0.52,,36.85
2016,Jacksonville Jaguars,3,13,0,318,400,0.2,43.53,23.36,16.21,15.33,11.2,16.92,6.44,10.97,5.85,7.22,8.88,8.26,3.83,8.57,5.01,7.14,3.57,3.12,2.23,4.15,1.43,1.6,0.35,0.91,4.69,0.45,,50.54
2016,Kansas City Chiefs,12,4,0,389,311,0.7,43.2,11.7,13.72,9.74,3.85,7.21,4.5,18.39,1.49,13.27,10.43,3.24,4.68,7.55,9.87,13.71,4.51,7.5,3.67,4.99,2.93,2.37,0.4,0.7,3.04,0.35,1.53,43.81
2016,Los Angeles Rams,4,12,0,224,394,-0.5,39.08,14.98,14.03,12.53,10.83,7.85,7.14,14.05,1.56,6.32,11.31,3.73,0.32,8.66,3.21,13.73,3.78,0.91,3.01,4.42,1.59,1.7,0.84,2.31,4.31,0.58,1.34,43.07
2016,Miami Dolphins,10,6,0,363,380,-1.3,38.37,25.61,16.06,18.86,7.45,11.25,14.35,5.44,2.03,8.67,4.17,6.94,1.37,10.11,8.61,4.07,7.1,2.61,1.49,1.21,0.35,5.66,0.35,6.72,1.51,0.8,,47.11
2016,Minnesota Vikings,8,8,0,327,307,-0.3,49.47,17.74,18.66,20.42,10.45,7.6,10.14,7.66,10.45,8.01,5.68,6.13,1.18,8.27,8.21,6.48,7.33,5.03,1.15,8.68,0.46,2.88,0.2,1.69,0.42,0.49,1.06,44.06
2016,New England Patriots,14,2,0,441,250,-2.7,48.53,13.47,11.83,16.18,3.23,3.45,10.02,9.14,1.08,10.32,11.44,8.15,8.38,14.74,8.6,0.76,11.16,4.64,4.33,2.77,1.15,3.95,2.78,0.36,2.74,0.4,0.51,34.43
2016,New Orleans Saints,7,9,0,469,454,0.6,36.74,8.29,14.68,13.11,3.22,3.25,5.04,8.13,4.69,12.65,3.49,4.04,2.35,5.44,11.46,5.78,2.56,7.49,3,3.39,2.08,3.14,0.31,2.98,2.53,0.61,0.41,31.1
2016,New York Giants,11,5,0,310,284,0.5,42.79,21.52,16.08,8.52,13.82,5.9,15.62,8.1,2.94,16.52,8.72,1.95,2.4,4.43,2.26,5.7,2.82,1.58,1.67,6.19,0.71,,0.25,1.15,1.61,0.71,0.89,45.7
2016,New York Jets,5,11,0,275,409,-0.1,41.8,13.97,21.46,17.59,15.97,4.8,9.17,8.76,3.65,6.39,13.11,1.64,7.14,8.12,5.49,1.62,3.91,1.81,3,3.39,0.3,3.62,2.11,5.82,3.89,0.59,,44.2
2016,Oakland Raiders,12,4,0,416,385,1.3,43.31,11.18,20.06,22.31,12.06,5.36,5.82,13.64,9.4,2.81,11.64,3.5,2.97,8.23,8,10.58,3.71,5.48,6.2,1.72,3.07,0.5,2.41,4.69,4.52,0.72,1.33,44.79
2016,Philadelphia Eagles,7,9,0,367,331,1.6,41.9,8.79,11.96,21.89,4.13,6.19,2.6,18.08,2.55,6.48,3.54,3.79,5.81,13.34,7.83,12.27,6.4,7.12,2.8,6.77,1.53,,0.44,6,6.37,0.82,,38.82
2016,Pittsburgh Steelers,11,5,0,399,327,0.2,51.97,9.86,9.08,18.51,4.34,1.25,8.6,19.83,5.69,16.73,11.13,2.68,13.03,4.44,4.74,6.8,1.44,3.73,1.14,2.88,0.35,1.01,0.35,8.38,2.69,0.45,0.35,38.77
2016,San Diego Chargers,5,11,0,410,423,0.9,49.01,14.46,16.03,16.43,11.84,10.43,4.03,10.3,8.41,11.05,11.54,5.25,2.4,7.3,4.19,7.6,4.02,2.55,1.23,4.79,0.31,1.64,0.34,0.72,2.93,0.58,0.31,40.5
2016,San Francisco 49ers,2,14,0,309,480,-0.5,42.33,11.21,14.93,12.34,5.85,3.16,8.05,18.58,4.36,15.1,9.13,3.88,11.37,6.98,9.09,7.2,6.19,4.43,3.49,2.26,0.43,4.65,2.34,1.01,0.4,0.72,,44.72
2016,Seattle Seahawks,10,5,1,354,292,-1.7,35.25,14.89,26.26,4.15,13.65,3.73,11.16,9.76,0.41,12.6,8.66,8.41,4.42,2.81,12.61,5.33,0.66,6.97,3.7,1.69,1.06,5.04,2.34,0.94,1.44,0.3,0.43,50.91
2016,Tampa Bay Buccaneers,9,7,0,354,369,0.7,45.14,20.83,17.37,18.18,13.16,12.09,8.73,9.99,7.07,5.26,12.86,2.9,2.34,7.26,4.21,7.65,0.89,4.21,1.98,6.54,1.12,,0.47,3.85,5.75,0.39,0.02,48.18
2016,Tennessee Titans,9,7,0,381,378,-1.2,41.09,11,15.56,13.56,8.93,3.84,7.16,15.88,4.79,5.01,9.83,7.22,5.35,6,6.64,10.53,2.08,1.66,4.14,5.04,1.79,4.53,1.64,2.77,3.92,0.71,0.44,42.44
2016,Washington Redskins,8,7,1,396,383,1.2,56.16,7.04,12.74,17.71,11.39,0.7,6.34,10.62,7.68,15.2,16.15,5.65,2.31,7.73,1.35,8.31,6.62,,1.79,1.67,0.58,0.8,0.41,2.29,0.89,0.79,,30.4
